"(No Title)"
	"2026-08-"	"4 13:36:35"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"MEA_ALPHA5_2026"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".MAK324_ADAMS_STUDENT.Last_Run.MEA_ALPHA5_2026.TIME"	".MAK324_ADAMS_STUDENT.Last_Run.MEA_ALPHA5_2026.Q"
2.361111e-01	-9.555745e+02
2.388889e-01	-9.666412e+02
2.416667e-01	-9.777660e+02
2.444444e-01	-9.889289e+02
2.472222e-01	-1.000108e+03
2.500000e-01	-1.011279e+03
2.527778e-01	-1.022415e+03
2.555556e-01	-1.033489e+03
2.583333e-01	-1.044468e+03
2.611111e-01	-1.055320e+03
2.638889e-01	-1.066008e+03
2.666667e-01	-1.076492e+03
2.694444e-01	-1.086731e+03
2.722222e-01	-1.096680e+03
2.750000e-01	-1.106288e+03
2.777778e-01	-1.115506e+03
2.805556e-01	-1.124275e+03
2.833333e-01	-1.132539e+03
2.861111e-01	-1.140232e+03
2.888889e-01	-1.147289e+03
2.916667e-01	-1.153638e+03
2.944444e-01	-1.159204e+03
2.972222e-01	-1.163908e+03
3.000000e-01	-1.167666e+03
3.027778e-01	-1.170393e+03
3.055556e-01	-1.171995e+03
3.083333e-01	-1.172378e+03
3.111111e-01	-1.171442e+03
3.138889e-01	-1.169086e+03
3.166667e-01	-1.165201e+03
3.194444e-01	-1.159680e+03
3.222222e-01	-1.152410e+03
3.250000e-01	-1.143276e+03
3.277778e-01	-1.132163e+03
3.305556e-01	-1.118953e+03
3.333333e-01	-1.103528e+03
3.361111e-01	-1.085771e+03
3.388889e-01	-1.065565e+03
3.416667e-01	-1.042795e+03
3.444444e-01	-1.017351e+03
3.472222e-01	-9.891258e+02
3.500000e-01	-9.580173e+02
3.527778e-01	-9.239311e+02
3.555556e-01	-8.867810e+02
3.583333e-01	-8.464905e+02
3.611111e-01	-8.029940e+02
3.638889e-01	-7.562391e+02
3.666667e-01	-7.061874e+02
3.694444e-01	-6.528165e+02
3.722222e-01	-5.961216e+02
3.750000e-01	-5.361166e+02
3.777778e-01	-4.728356e+02
3.805556e-01	-4.063345e+02
3.833333e-01	-3.366915e+02
3.861111e-01	-2.640085e+02
3.888889e-01	-1.884115e+02
3.916667e-01	-1.100514e+02
3.944444e-01	-2.910352e+01
3.972222e-01	5.423195e+01
4.000000e-01	1.397308e+02
4.027778e-01	2.271455e+02
4.055556e-01	3.162064e+02
4.083333e-01	4.066234e+02
4.111111e-01	4.980879e+02
4.138889e-01	5.902748e+02
4.166667e-01	6.828454e+02
4.194444e-01	7.754499e+02
4.222222e-01	8.677310e+02
4.250000e-01	9.593268e+02
4.277778e-01	1.049874e+03
4.305556e-01	1.139013e+03
4.333333e-01	1.226389e+03
4.361111e-01	1.311657e+03
4.388889e-01	1.394486e+03
4.416667e-01	1.474559e+03
4.444444e-01	1.551581e+03
4.472222e-01	1.625277e+03
4.500000e-01	1.695398e+03
4.527778e-01	1.761719e+03
4.555556e-01	1.824045e+03
4.583333e-01	1.882209e+03
4.611111e-01	1.936074e+03
4.638889e-01	1.985535e+03
4.666667e-01	2.030516e+03
4.694444e-01	2.070970e+03
4.722222e-01	2.106880e+03
4.750000e-01	2.138257e+03
4.777778e-01	2.165139e+03
4.805556e-01	2.187586e+03
4.833333e-01	2.205685e+03
4.861111e-01	2.219541e+03
4.888889e-01	2.229279e+03
4.916667e-01	2.235038e+03
4.944444e-01	2.236974e+03
4.972222e-01	2.235255e+03
5.000000e-01	2.230056e+03
5.027778e-01	2.221561e+03
5.055556e-01	2.209961e+03
5.083333e-01	2.195449e+03
5.111111e-01	2.178218e+03
5.138889e-01	2.158466e+03
5.166667e-01	2.136385e+03
5.194444e-01	2.112167e+03
5.222222e-01	2.085999e+03
5.250000e-01	2.058063e+03
5.277778e-01	2.028537e+03
5.305556e-01	1.997591e+03
5.333333e-01	1.965388e+03
5.361111e-01	1.932084e+03
5.388889e-01	1.897828e+03
5.416667e-01	1.862760e+03
5.444444e-01	1.827011e+03
5.472222e-01	1.790707e+03
5.500000e-01	1.753962e+03
5.527778e-01	1.716884e+03
5.555556e-01	1.679575e+03
5.583333e-01	1.642125e+03
5.611111e-01	1.604620e+03
5.638889e-01	1.567138e+03
5.666667e-01	1.529750e+03
5.694444e-01	1.492519e+03
5.722222e-01	1.455505e+03
5.750000e-01	1.418759e+03
5.777778e-01	1.382329e+03
5.805556e-01	1.346255e+03
5.833333e-01	1.310576e+03
5.861111e-01	1.275322e+03
5.888889e-01	1.240521e+03
5.916667e-01	1.206199e+03
5.944444e-01	1.172375e+03
5.972222e-01	1.139066e+03
6.000000e-01	1.106286e+03
6.027778e-01	1.074046e+03
6.055556e-01	1.042356e+03
6.083333e-01	1.011220e+03
6.111111e-01	9.806443e+02
6.138889e-01	9.506296e+02
6.166667e-01	9.211769e+02
6.194444e-01	8.922849e+02
6.222222e-01	8.639512e+02
6.250000e-01	8.361720e+02
6.277778e-01	8.089425e+02
6.305556e-01	7.822568e+02
6.333333e-01	7.561081e+02
6.361111e-01	7.304892e+02
6.388889e-01	7.053918e+02
6.416667e-01	6.808074e+02
6.444444e-01	6.567269e+02
6.472222e-01	6.331407e+02
6.500000e-01	6.100390e+02
6.527778e-01	5.874119e+02
6.555556e-01	5.652490e+02
6.583333e-01	5.435400e+02
6.611111e-01	5.222743e+02
6.638889e-01	5.014414e+02
6.666667e-01	4.810308e+02
6.694444e-01	4.610318e+02
6.722222e-01	4.414340e+02
6.750000e-01	4.222269e+02
6.777778e-01	4.034002e+02
6.805556e-01	3.849437e+02
6.833333e-01	3.668474e+02
6.861111e-01	3.491012e+02
6.888889e-01	3.316955e+02
6.916667e-01	3.146207e+02
6.944444e-01	2.978675e+02
6.972222e-01	2.814266e+02
7.000000e-01	2.652890e+02
7.027778e-01	2.494462e+02
7.055556e-01	2.338894e+02
7.083333e-01	2.186104e+02
7.111111e-01	2.036012e+02
7.138889e-01	1.888539e+02
7.166667e-01	1.743608e+02
7.194444e-01	1.601146e+02
7.222222e-01	1.461082e+02
7.250000e-01	1.323346e+02
7.277778e-01	1.187871e+02
7.305556e-01	1.054592e+02
7.333333e-01	9.234479e+01
7.361111e-01	7.943781e+01
7.388889e-01	6.673247e+01
7.416667e-01	5.422322e+01
7.444444e-01	4.190472e+01
7.472222e-01	2.977185e+01
7.500000e-01	1.781969e+01
7.527778e-01	6.043551e+00
7.555556e-01	-5.561061e+00
7.583333e-01	-1.699843e+01
7.611111e-01	-2.827266e+01
7.638889e-01	-3.938763e+01
7.666667e-01	-5.034704e+01
7.694444e-01	-6.115440e+01
7.722222e-01	-7.181305e+01
7.750000e-01	-8.232611e+01
7.777778e-01	-9.269658e+01
7.805556e-01	-1.029272e+02
7.833333e-01	-1.130207e+02
7.861111e-01	-1.229794e+02
7.888889e-01	-1.328058e+02
7.916667e-01	-1.425018e+02
7.944444e-01	-1.520696e+02
7.972222e-01	-1.615109e+02
8.000000e-01	-1.708276e+02
8.027778e-01	-1.800211e+02
8.055556e-01	-1.890928e+02
8.083333e-01	-1.980442e+02
8.111111e-01	-2.068763e+02
8.138889e-01	-2.155903e+02
8.166667e-01	-2.241871e+02
8.194444e-01	-2.326675e+02
8.222222e-01	-2.410324e+02
8.250000e-01	-2.492822e+02
8.277778e-01	-2.574176e+02
8.305556e-01	-2.654391e+02
8.333333e-01	-2.733471e+02
8.361111e-01	-2.811417e+02
8.388889e-01	-2.888234e+02
8.416667e-01	-2.963922e+02
8.444444e-01	-3.038482e+02
8.472222e-01	-3.111916e+02
8.500000e-01	-3.184223e+02
8.527778e-01	-3.255403e+02
8.555556e-01	-3.325455e+02
8.583333e-01	-3.394379e+02
8.611111e-01	-3.462173e+02
8.638889e-01	-3.528836e+02
8.666667e-01	-3.594365e+02
8.694444e-01	-3.658761e+02
8.722222e-01	-3.722020e+02
8.750000e-01	-3.784143e+02
8.777778e-01	-3.845126e+02
8.805556e-01	-3.904969e+02
8.833333e-01	-3.963670e+02
8.861111e-01	-4.021230e+02
8.888889e-01	-4.077647e+02
8.916667e-01	-4.132922e+02
8.944444e-01	-4.187055e+02
8.972222e-01	-4.240047e+02
9.000000e-01	-4.291899e+02
9.027778e-01	-4.342613e+02
9.055556e-01	-4.392192e+02
9.083333e-01	-4.440640e+02
9.111111e-01	-4.487960e+02
9.138889e-01	-4.534157e+02
9.166667e-01	-4.579237e+02
9.194444e-01	-4.623206e+02
9.222222e-01	-4.666072e+02
9.250000e-01	-4.707843e+02
9.277778e-01	-4.748528e+02
9.305556e-01	-4.788138e+02
9.333333e-01	-4.826682e+02
9.361111e-01	-4.864175e+02
9.388889e-01	-4.900627e+02
9.416667e-01	-4.936055e+02
9.444444e-01	-4.970473e+02
9.472222e-01	-5.003897e+02
9.500000e-01	-5.036345e+02
9.527778e-01	-5.067835e+02
9.555556e-01	-5.098386e+02
9.583333e-01	-5.128020e+02
9.611111e-01	-5.156757e+02
9.638889e-01	-5.184621e+02
9.666667e-01	-5.211635e+02
9.694444e-01	-5.237824e+02
9.722222e-01	-5.263214e+02
9.750000e-01	-5.287832e+02
9.777778e-01	-5.311705e+02
9.805556e-01	-5.334862e+02
9.833333e-01	-5.357333e+02
9.861111e-01	-5.379148e+02
9.888889e-01	-5.400340e+02
9.916667e-01	-5.420940e+02
9.944444e-01	-5.440983e+02
9.972222e-01	-5.460501e+02
1.000000e+00	-5.479530e+02


